"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2014 WJ70)",3.219,0.6018,10.07,148.82,28.33,1.282,5.16,5.78,4404,0,389,,,17.78
"       (2014 WZ120)",2.212,0.6400,20.91,244.77,245.23,0.796,3.63,3.29,189,3,346,2,1,20.50
"       (2014 WK368)",2.155,0.7122,14.30,237.12,105.22,0.620,3.69,3.16,37,7,21,,,21.31
"       (2014 XQ7)",2.638,0.7507,31.02,141.12,13.27,0.658,4.62,4.28,9,9,22,,,20.18
"       (2014 XX7)",2.91,0.5929,36.66,186.07,162.98,1.185,4.64,4.96,3789,0,374,,,19.23
"       (2014 XX31)",2.827,0.8699,36.06,290.59,344.84,0.368,5.29,4.75,3321,0,87,,,17.24
"       (2014 YJ14)",2.2,0.8217,29.29,305.16,57.55,0.392,4.01,3.26,8174,0,161,,,18.38
"       (2014 YL14)",2.749,0.7641,5.92,67.82,291.08,0.648,4.85,4.56,63,5,139,,,20.60
"       (2014 YS14)",2.451,0.6673,18.30,124.32,14.43,0.815,4.09,3.84,139,5,40,,,21.10
"       (2014 YT14)",1.724,0.5057,30.60,275.53,28.20,0.852,2.60,2.26,7376,0,90,,,18.59
"       (2014 YS34)",1.553,0.3854,6.89,210.05,322.00,0.955,2.15,1.94,1678,0,196,,,20.85
"       (2014 YR43)",2.486,0.6111,26.45,123.11,268.90,0.967,4.00,3.92,2971,0,109,,,19.63
"       (2015 AC17)",2.259,0.4586,29.19,256.50,188.34,1.223,3.30,3.4,2532,0,56,,,19.63
"       (2015 AY245)",1.127,0.1094,13.59,143.64,13.03,1.004,1.25,1.2,2450,0,269,,,20.99
"       (2015 AK280)",2.656,0.7046,11.36,17.19,45.10,0.785,4.53,4.33,56,6,33,,,21.59
"       (2015 BW310)",2.623,0.6389,10.04,95.07,322.51,0.947,4.30,4.25,202,4,51,,,22.00
"       (2015 BY516)",2.908,0.6622,13.45,296.21,249.33,0.982,4.83,4.96,15,8,27,,,20.02
"       (2015 CX12)",2.003,0.6098,5.74,195.88,227.57,0.781,3.22,2.83,1141,1,176,,,20.00
"       (2015 CP13)",2.439,0.6632,8.83,68.15,0.34,0.821,4.06,3.81,1507,0,115,,,19.80
"       (2015 CV13)",1.338,0.2882,13.04,124.79,132.56,0.953,1.72,1.55,3251,0,187,0,1,20.43
"       (2015 DA54)",2.604,0.7828,8.24,147.33,246.53,0.566,4.64,4.2,1703,0,70,,,20.88
"       (2015 DE176)",2.01,0.5626,10.25,69.15,178.41,0.879,3.14,2.85,1070,1,212,,,19.72
"       (2015 DU180)",1.926,0.9219,4.86,51.75,315.41,0.150,3.70,2.67,2944,0,67,,,20.93
"       (2015 DX198)",1.641,0.3758,11.05,309.66,216.06,1.025,2.26,2.1,709,1,55,,,21.93
"       (2015 DN215)",2.741,0.7484,10.36,3.18,80.78,0.690,4.79,4.54,3545,0,325,,,19.80
"       (2015 ED7)",2.469,0.7823,11.10,42.28,41.34,0.537,4.40,3.88,2709,0,88,,,20.77
"       (2015 EE7)",1.702,0.4110,27.30,9.35,219.21,1.002,2.40,2.22,3469,0,295,1,1,20.28
"       (2015 FL)",2.686,0.6513,15.70,11.66,224.78,0.937,4.44,4.4,147,3,271,2,1,20.80
"       (2015 FS33)",1.27,0.6280,13.30,15.76,297.35,0.473,2.07,1.43,3680,0,115,,,22.56
"       (2015 FZ35)",2.792,0.8109,9.46,351.15,324.39,0.528,5.06,4.67,5115,0,106,,,19.48
"       (2015 FY117)",2.018,0.4348,24.36,188.23,348.75,1.140,2.89,2.87,67,6,99,,,20.12
"       (2015 FN120)",2.099,0.6185,5.02,18.45,97.80,0.801,3.40,3.04,33,7,66,,,23.50
"       (2015 FU332)",2.64,0.7426,35.87,82.52,25.65,0.680,4.60,4.29,1529,1,178,,,17.23
"       (2015 FT344)",2.557,0.5686,12.56,325.68,289.45,1.103,4.01,4.09,3095,0,150,,,20.12
"       (2015 GS)",1.727,0.4771,11.86,113.79,20.98,0.903,2.55,2.27,3356,0,112,,,20.53
"       (2015 GY)",1.068,0.2001,11.81,207.75,108.69,0.854,1.28,1.1,3613,0,263,,,21.69
"       (2015 GK50)",3.058,0.6696,19.10,155.44,74.76,1.010,5.11,5.35,139,5,56,,,19.92
"       (2015 HF1)",1.317,0.6145,22.00,18.38,67.59,0.508,2.13,1.51,17,8,55,,,22.70
"       (2015 HF11)",2.098,0.4190,35.08,234.00,340.96,1.219,2.98,3.04,3370,0,377,,,19.28
"       (2015 HU171)",2.294,0.5739,5.58,76.97,179.17,0.978,3.61,3.48,10,8,61,,,23.70
"       (2015 HX181)",1.79,0.5601,7.91,211.90,293.60,0.787,2.79,2.4,29,7,46,,,23.90
"       (2015 JC2)",1.487,0.5460,10.43,114.70,354.24,0.675,2.30,1.81,3785,0,50,,,20.89
"       (2015 KN122)",1.377,0.6825,22.08,82.38,26.38,0.437,2.32,1.62,2948,0,95,,,20.39
"       (2015 KH157)",1.792,0.5325,21.55,89.32,51.32,0.838,2.75,2.4,1640,0,118,,,19.89
"       (2015 KL157)",2.652,0.6154,35.55,279.19,5.48,1.020,4.28,4.32,1332,1,182,,,18.68
"       (2015 LL21)",2.186,0.7179,6.99,111.50,56.33,0.617,3.76,3.23,31,8,63,,,19.90
"       (2015 LM21)",2.435,0.7719,6.36,121.13,36.95,0.555,4.31,3.8,43,6,61,,,22.10
"       (2015 LK24)",2.683,0.6179,14.40,94.83,202.91,1.025,4.34,4.39,145,3,175,2,1,21.52
"       (2015 MN116)",1.708,0.5296,44.78,265.06,97.08,0.803,2.61,2.23,3269,0,90,,,19.75
"       (2015 MQ130)",2.206,0.5337,40.21,238.88,111.85,1.029,3.38,3.28,1138,1,59,,,20.90
"       (2015 NZ13)",2.016,0.7806,6.58,175.36,239.72,0.442,3.59,2.86,47,3,128,1,2,20.60
"       (2015 NA14)",0.9659,0.1837,6.35,281.79,152.88,0.788,1.14,0.949,750,1,460,2,1,22.00
"       (2015 OA22)",3.51,0.6939,45.40,347.30,356.67,1.074,5.94,6.57,131,5,68,,,19.82
"       (2015 PC)",2.156,0.7556,8.02,251.22,335.22,0.527,3.78,3.16,1871,1,120,,,19.40
"       (2015 PK57)",2.521,0.6189,4.72,133.74,247.30,0.961,4.08,4,2931,0,50,,,24.40
"       (2015 PM57)",2.206,0.7343,17.39,112.86,341.91,0.586,3.83,3.28,1392,0,110,,,18.66
"       (2015 PU228)",2.291,0.7858,9.43,299.10,274.42,0.491,4.09,3.47,2293,1,173,,,20.30
"       (2015 PP291)",2.378,0.7827,16.51,97.56,310.81,0.517,4.24,3.67,1448,1,111,,,18.29
"       (2015 QG)",1.57,0.3922,20.05,322.49,313.69,0.954,2.19,1.97,22,7,82,,,23.80
"       (2015 QM3)",0.706,0.5312,16.15,159.69,324.65,0.331,1.08,0.593,3316,0,171,1,0,20.38
"       (2015 RS83)",2.795,0.7657,11.64,70.09,24.11,0.655,4.94,4.67,5131,0,49,,,19.30
"       (2015 RR150)",2.038,0.4982,42.16,174.20,167.33,1.023,3.05,2.91,1042,1,67,,,19.63
"       (2015 SF20)",2.129,0.5570,5.97,336.83,2.92,0.943,3.32,3.11,2110,0,150,,,19.59
"       (2015 SS20)",1.543,0.3463,11.47,244.92,164.69,1.009,2.08,1.92,937,1,49,,,22.12
"       (2015 TE)",2.71,0.7513,7.62,358.28,102.19,0.674,4.75,4.46,15,8,100,,,22.50
"       (2015 TX24)",2.262,0.8743,6.11,32.27,127.80,0.284,4.24,3.4,46,6,59,,,21.58
"       (2015 TK237)",2.032,0.5505,11.66,33.13,306.81,0.914,3.15,2.9,139,6,38,,,22.42
"       (2015 TK238)",2.41,0.6071,3.68,170.12,161.97,0.947,3.87,3.74,57,6,165,,,21.90
"       (2015 TD323)",1.616,0.6310,48.91,13.83,95.89,0.596,2.64,2.05,3739,1,80,,,19.93
"       (2015 UK52)",1.555,0.3690,20.95,239.10,216.83,0.981,2.13,1.94,2416,0,427,,,20.14
"       (2015 VE1)",2.246,0.5669,1.90,98.27,273.52,0.973,3.52,3.37,206,4,437,,,21.00
"       (2015 VF1)",1.878,0.5371,5.16,17.43,75.62,0.869,2.89,2.57,13,8,54,,,23.77
"       (2015 VB65)",2.187,0.5638,8.61,230.85,224.96,0.954,3.42,3.24,115,5,217,,,22.93
"       (2015 VU65)",1.972,0.5791,2.96,230.64,238.67,0.830,3.11,2.77,6,8,64,,,26.40
"       (2015 VZ145)",2.128,0.5414,2.74,103.25,327.49,0.976,3.28,3.1,124,4,93,0,1,23.63
"       (2015 WG9)",2.032,0.6917,34.36,239.34,90.02,0.627,3.44,2.9,2031,0,332,,,20.39
"       (2015 WC13)",2.276,0.4670,23.42,80.77,39.58,1.213,3.34,3.43,3627,0,326,,,19.61
"       (2015 WM16)",2.756,0.6784,32.41,55.76,333.65,0.886,4.62,4.57,72,6,27,,,21.48
"       (2015 XE)",1.57,0.3684,2.39,245.54,158.51,0.991,2.15,1.97,32,5,173,0,2,24.70
"       (2015 XD1)",2.278,0.6558,11.59,6.66,161.26,0.784,3.77,3.44,5109,0,101,,,20.14
"       (2015 XK1)",1.635,0.5347,6.46,189.25,343.25,0.761,2.51,2.09,3598,0,402,,,20.00
"       (2015 XR128)",1.65,0.3206,15.53,286.33,171.84,1.121,2.18,2.12,2043,0,599,,,19.13
"       (2015 XO129)",2.436,0.6312,2.14,245.85,127.21,0.898,3.97,3.8,22,8,30,,,25.20
"       (2015 XB130)",2.641,0.6169,12.53,46.97,330.64,1.012,4.27,4.29,28,7,37,,,21.51
"       (2015 YK)",1.095,0.1193,4.70,258.35,237.66,0.965,1.23,1.15,26,5,96,,,25.86
"       (2015 YB1)",1.539,0.4106,28.62,92.51,65.43,0.907,2.17,1.91,715,0,127,,,21.40
"       (2015 YX7)",2.456,0.6050,4.03,148.38,265.92,0.970,3.94,3.85,94,5,73,,,21.82
"       (2015 YT10)",2.351,0.7846,10.90,136.94,200.90,0.506,4.20,3.61,42,6,95,,,20.00
"       (2015 YC18)",1.368,0.3268,5.42,57.78,78.88,0.921,1.81,1.6,12,7,15,,,24.99
"       (2016 AK8)",1.448,0.1866,23.10,251.58,200.47,1.178,1.72,1.74,2577,0,170,,,21.14
"       (2016 AL8)",1.78,0.4328,7.91,144.93,24.07,1.009,2.55,2.37,2603,0,150,,,20.73
"       (2016 AZ8)",1.321,0.3551,5.59,89.99,318.58,0.852,1.79,1.52,4346,0,380,4,1,21.07
"       (2016 AA10)",1.879,0.5091,12.66,59.72,342.53,0.923,2.84,2.58,2069,1,105,,,20.29
"       (2016 AO66)",2.325,0.5445,26.65,108.40,37.07,1.059,3.59,3.55,2541,1,117,,,20.17
"       (2016 AO165)",3.218,0.7070,8.98,255.22,282.66,0.943,5.49,5.77,198,4,228,,,19.94
"       (2016 AD166)",1.652,0.5690,5.28,96.39,297.49,0.712,2.59,2.12,31,7,40,,,23.58
"       (2016 BJ1)",2.261,0.5428,21.42,103.17,99.23,1.034,3.49,3.4,2739,0,97,,,20.31
"       (2016 BT13)",2.156,0.4849,40.89,294.09,282.74,1.111,3.20,3.17,1086,1,107,,,19.29
"       (2016 BC14)",0.8702,0.1823,8.37,3.97,337.17,0.712,1.03,0.812,2913,1,266,0,1,20.98
"       (2016 BP14)",2.891,0.7541,1.98,165.04,228.28,0.711,5.07,4.92,3493,0,91,,,20.95
"       (2016 BZ14)",2.862,0.6655,31.16,137.25,32.40,0.957,4.77,4.84,1974,0,543,,,18.44
"       (2016 BJ15)",1.808,0.5194,2.99,106.32,330.15,0.869,2.75,2.43,23,7,245,,,23.30
"       (2016 BR80)",1.703,0.4525,12.07,8.72,160.59,0.932,2.47,2.22,717,1,55,,,21.30
"       (2016 CU30)",3.043,0.6400,27.89,140.66,43.83,1.095,4.99,5.31,115,5,126,,,21.58
"       (2016 CB31)",1.769,0.4602,1.23,90.71,96.46,0.955,2.58,2.35,2668,0,94,,,24.96
"       (2016 CL136)",0.7297,0.6222,21.53,316.42,23.53,0.276,1.18,0.623,2571,0,223,1,1,21.36
"       (2016 CQ195)",2.165,0.7064,28.42,333.39,324.85,0.636,3.69,3.19,1407,0,149,,,18.20
"       (2016 CK246)",3.973,0.7298,12.64,303.10,219.08,1.074,6.87,7.92,2926,0,213,,,21.75
"       (2016 DL)",0.7143,0.4712,23.85,290.11,33.18,0.378,1.05,0.604,5510,1,84,,,21.40
"       (2016 DO2)",1.564,0.5186,1.41,173.78,259.53,0.753,2.37,1.96,15,8,34,,,23.70
"       (2016 EE1)",2.246,0.6394,7.50,151.96,309.89,0.810,3.68,3.37,13,8,46,,,24.50
"       (2016 EV1)",2.458,0.7146,5.14,190.78,246.89,0.702,4.21,3.85,21,7,30,,,23.90
"       (2016 EZ26)",2.436,0.5949,6.82,67.28,156.87,0.987,3.89,3.8,123,5,102,,,22.60
"       (2016 EH157)",2.434,0.6244,10.04,22.84,198.22,0.914,3.95,3.8,1573,0,152,,,21.10
"       (2016 FY3)",2.627,0.6885,22.43,35.90,238.42,0.818,4.43,4.26,192,3,266,,,21.20
"       (2016 FE12)",1.276,0.6973,29.83,8.95,47.43,0.386,2.17,1.44,1090,2,146,,,20.60
"       (2016 FO12)",2.527,0.6191,4.21,287.63,201.04,0.963,4.09,4.02,2930,1,58,,,22.35
"       (2016 FC13)",1.258,0.2146,40.95,11.12,219.97,0.988,1.53,1.41,1284,1,153,,,22.07
"       (2016 FW14)",1.484,0.4395,12.08,334.97,330.23,0.832,2.14,1.81,3313,0,61,,,20.75
"       (2016 GU216)",2.468,0.7175,20.70,263.96,12.20,0.697,4.24,3.88,1705,0,111,,,18.46
"       (2016 GP220)",2.916,0.6683,16.44,37.22,227.29,0.967,4.86,4.98,1853,0,74,,,22.02
"       (2016 GB241)",3.21,0.6289,14.79,82.31,194.82,1.191,5.23,5.75,4532,0,201,,,19.14
"       (2016 HN3)",2.148,0.5560,19.34,64.20,199.86,0.954,3.34,3.15,1072,1,35,,,21.38
"       (2016 JC6)",0.8067,0.2829,6.78,236.79,174.19,0.578,1.03,0.725,2970,0,496,2,2,21.37
"       (2016 JM17)",2.423,0.7867,21.00,166.32,185.98,0.517,4.33,3.77,51,6,88,,,19.60
"       (2016 JW28)",2.082,0.5792,0.92,217.25,65.39,0.876,3.29,3,2,8,61,,,25.50
"       (2016 JU33)",1.828,0.5337,3.88,293.11,223.89,0.852,2.80,2.47,2055,0,194,,,20.95
"       (2016 JU38)",2.26,0.6497,40.21,74.86,279.03,0.792,3.73,3.4,19,8,45,,,19.58
"       (2016 KD)",1.139,0.3052,21.21,71.91,258.86,0.791,1.49,1.22,2405,1,102,,,22.35
"       (2016 KL1)",0.9015,0.2801,18.14,69.76,317.03,0.649,1.15,0.856,4445,0,97,,,21.09
"       (2016 KB4)",2.316,0.6710,14.85,154.76,206.64,0.762,3.87,3.52,2730,0,100,,,20.25
"       (2016 LB)",1.012,0.1461,32.18,72.94,76.53,0.864,1.16,1.02,742,1,134,,,22.80
"       (2016 LF2)",2.798,0.6328,32.87,74.45,191.59,1.027,4.57,4.68,5,9,66,,,22.42
"       (2016 LM8)",2.164,0.6454,12.94,107.71,263.48,0.767,3.56,3.18,1314,0,337,,,18.86
"       (2016 LV8)",2.563,0.7478,12.79,186.23,179.35,0.646,4.48,4.1,3161,0,83,,,19.81
"       (2016 LD9)",1.805,0.6110,4.19,70.84,96.82,0.702,2.91,2.42,1654,1,145,,,22.40
"       (2016 LV47)",1.732,0.8587,15.07,91.74,317.66,0.245,3.22,2.28,3307,2,53,,,20.02
"       (2016 LX48)",3.222,0.6911,5.58,327.28,4.02,0.995,5.45,5.78,2359,0,796,6,1,19.34
"       (2016 OY2)",1.696,0.4609,22.34,26.65,342.17,0.914,2.48,2.21,2802,1,89,,,19.04
"       (2016 PT)",2.854,0.7697,10.40,192.23,199.43,0.657,5.05,4.82,206,5,61,,,20.49
"       (2016 PO8)",2.169,0.5617,16.86,289.91,116.19,0.951,3.39,3.2,1088,0,154,,,20.03
"       (2016 PR8)",2.841,0.6768,16.34,97.56,312.41,0.918,4.76,4.79,2066,0,369,,,18.90
"       (2016 PN38)",2.462,0.6173,3.58,343.52,56.57,0.942,3.98,3.86,1444,0,96,,,21.21
"       (2016 PG67)",2.701,0.5798,13.43,223.85,67.14,1.135,4.27,4.44,73,6,25,,,22.17
"       (2016 QU1)",2.23,0.9049,23.32,259.37,190.73,0.212,4.25,3.33,3725,0,105,,,19.20
"       (2016 QM11)",2.777,0.7222,19.22,327.42,153.32,0.771,4.78,4.63,5145,0,236,,,18.23
"       (2016 QC84)",1.506,0.4027,16.63,354.14,75.94,0.899,2.11,1.85,941,2,283,,,20.13
"       (2016 RW)",1.613,0.3849,4.84,238.33,158.75,0.992,2.23,2.05,832,0,82,,,23.25
"       (2016 RM40)",2.434,0.7616,0.96,297.01,319.61,0.580,4.29,3.8,16,8,39,,,24.67
"       (2016 SD)",2.811,0.7104,6.33,277.33,177.93,0.814,4.81,4.71,1852,0,400,,,18.88
"       (2016 SG2)",2.471,0.8803,24.88,192.67,38.43,0.296,4.65,3.88,1492,0,159,,,20.60
"       (2016 SG45)",2.177,0.4659,29.20,60.54,348.82,1.163,3.19,3.21,123,5,51,,,19.21
"       (2016 SH45)",2.754,0.5770,8.97,100.69,277.12,1.165,4.34,4.57,2040,1,242,,,19.17
"       (2016 TB11)",1.799,0.4988,9.25,196.87,123.98,0.902,2.70,2.41,8,8,36,,,25.23
"       (2016 TX17)",1.833,0.5941,11.27,206.47,247.96,0.744,2.92,2.48,7,9,36,,,23.50
"       (2016 TJ18)",2.408,0.5827,17.72,44.94,349.04,1.005,3.81,3.74,129,5,90,,,20.56
"       (2016 TZ19)",0.9472,0.5815,5.27,226.34,297.85,0.396,1.50,0.922,23,6,73,,,23.15
"       (2016 TM56)",1.119,0.1309,2.35,213.78,126.24,0.973,1.27,1.18,42,4,162,,,26.90
"       (2016 TA57)",0.8996,0.5418,30.07,33.55,129.23,0.412,1.39,0.853,2174,1,55,,,20.79
"       (2016 UZ25)",2.498,0.7929,3.81,32.32,114.56,0.518,4.48,3.95,40,6,188,,,21.74
"       (2016 UD41)",2.821,0.6501,2.14,53.61,307.16,0.987,4.66,4.74,37,7,153,,,22.70
"       (2016 UH101)",2.097,0.5295,4.71,176.16,175.66,0.987,3.21,3.04,2313,0,93,,,22.61
"       (2016 UA107)",2.723,0.7745,26.97,232.52,22.73,0.614,4.83,4.49,12,8,16,,,20.80
"       (2016 VK6)",1.341,0.2485,7.74,341.02,46.83,1.008,1.67,1.55,1062,1,46,,,22.45
"       (2016 VM6)",2.538,0.5130,26.70,354.15,71.20,1.236,3.84,4.04,3030,0,104,,,20.09
"       (2016 WF9)",2.849,0.6650,15.18,125.16,342.92,0.954,4.74,4.81,2001,0,181,,,20.08
"       (2016 WN48)",2.74,0.6408,4.84,88.96,299.23,0.984,4.50,4.54,22,8,42,,,24.78
"       (2016 XA18)",1.946,0.8339,17.74,262.94,294.15,0.323,3.57,2.72,7,8,111,,,23.10
"       (2016 XY23)",2.792,0.5713,28.14,106.49,11.22,1.197,4.39,4.66,84,6,39,,,20.49
"       (2018 DX3)",2.107,0.4972,7.65,18.70,216.21,1.060,3.16,3.06,3221,0,461,,,19.94
